epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,937.499,3.01454,2.78502,2.89721,0.77605,0.7215,0.79128,0.45162,3.2178,2.30017,3.06259,0.00077032,0.00077032,0.00077032
60,951.939,2.9675,2.80572,2.83855,0.76897,0.6635,0.71609,0.42801,2.73458,2.38942,2.80038,0.00076636,0.00076636,0.00076636
61,966.371,2.97503,2.75183,2.77553,0.69722,0.78311,0.74223,0.44694,2.8902,2.33584,2.87988,0.0007624,0.0007624,0.0007624
62,980.743,2.96004,2.74754,2.82816,0.67501,0.73923,0.74861,0.4442,2.86224,2.58148,2.88391,0.00075844,0.00075844,0.00075844
63,995.016,2.92714,2.65438,2.76393,0.79261,0.69728,0.76637,0.459,3.048,2.37909,2.98462,0.00075448,0.00075448,0.00075448
64,1009.86,3.04625,2.8145,2.84876,0.66703,0.72657,0.67485,0.40086,2.94853,2.39963,2.90396,0.00075052,0.00075052,0.00075052
65,1025.52,2.96538,2.64975,2.80785,0.65331,0.73578,0.73355,0.43034,2.9054,2.40947,2.92941,0.00074656,0.00074656,0.00074656
66,1061.65,2.91552,2.67304,2.78979,0.66714,0.67931,0.72546,0.43954,2.83238,2.71284,2.85975,0.0007426,0.0007426,0.0007426
67,1076.03,2.92177,2.61187,2.78797,0.82742,0.77488,0.80493,0.45556,3.01404,2.46867,2.8951,0.00073864,0.00073864,0.00073864
68,1090.56,2.89312,2.53928,2.74133,0.79979,0.7256,0.77426,0.42902,2.97217,2.40951,2.90982,0.00073468,0.00073468,0.00073468
69,1119.39,2.87364,2.54457,2.72951,0.84057,0.66746,0.76295,0.39937,2.91076,2.51537,2.90292,0.00073072,0.00073072,0.00073072
70,1140.93,2.9045,2.55935,2.78104,0.64387,0.69697,0.73801,0.44514,2.79579,2.27549,2.85254,0.00072676,0.00072676,0.00072676
71,1160.07,2.88185,2.54511,2.76087,0.75704,0.65888,0.72337,0.42357,2.93692,2.58663,2.90756,0.0007228,0.0007228,0.0007228
72,1174.58,2.83674,2.51528,2.70627,0.6934,0.65899,0.71988,0.40694,3.16061,2.68584,2.98838,0.00071884,0.00071884,0.00071884
73,1189.09,2.89095,2.53001,2.73117,0.84608,0.6139,0.75144,0.4302,2.77206,2.15511,2.81899,0.00071488,0.00071488,0.00071488
74,1203.54,2.88092,2.55985,2.77297,0.76677,0.7393,0.81351,0.48874,2.76735,2.23147,2.80099,0.00071092,0.00071092,0.00071092
75,1218.15,2.85725,2.54381,2.74727,0.81257,0.77645,0.78381,0.44449,2.81643,2.06355,2.82095,0.00070696,0.00070696,0.00070696
76,1232.45,2.81066,2.4255,2.72238,0.70438,0.66155,0.70688,0.41601,2.7877,2.37564,2.84054,0.000703,0.000703,0.000703
77,1246.95,2.82538,2.50402,2.73187,0.76039,0.77189,0.76982,0.46283,2.78562,2.28333,2.79004,0.00069904,0.00069904,0.00069904
78,1261.3,2.86212,2.49033,2.77305,0.76669,0.68589,0.76948,0.43363,2.82702,2.40087,2.8177,0.00069508,0.00069508,0.00069508
79,1275.28,2.83538,2.44626,2.73248,0.85822,0.53945,0.73308,0.44945,2.85501,2.32504,2.82018,0.00069112,0.00069112,0.00069112
80,1289.38,2.84826,2.48873,2.73296,0.69066,0.74331,0.72994,0.46274,2.71119,2.32429,2.73069,0.00068716,0.00068716,0.00068716
81,1303.54,2.84393,2.48877,2.74205,0.71354,0.71136,0.7422,0.46584,2.77209,2.33017,2.78387,0.0006832,0.0006832,0.0006832
82,1335.22,2.8089,2.40479,2.69311,0.81633,0.72995,0.74591,0.43995,2.75521,2.35011,2.82932,0.00067924,0.00067924,0.00067924
83,1363.9,2.76316,2.33039,2.723,0.80268,0.69511,0.79973,0.45968,3.19422,2.22377,3.00001,0.00067528,0.00067528,0.00067528
84,1378.28,2.79585,2.39594,2.69128,0.79893,0.79511,0.80518,0.45066,2.87113,2.30437,2.85815,0.00067132,0.00067132,0.00067132
85,1403.03,2.71039,2.30588,2.64445,0.76429,0.76301,0.80571,0.46967,2.75259,2.40732,2.80804,0.00066736,0.00066736,0.00066736
86,1417.48,2.84872,2.40694,2.74653,0.82658,0.69507,0.77479,0.41793,2.79656,2.28585,2.84096,0.0006634,0.0006634,0.0006634
87,1432.49,2.80703,2.33987,2.70396,0.75882,0.77267,0.77074,0.4703,2.75876,2.32148,2.80858,0.00065944,0.00065944,0.00065944
88,1476.08,2.80472,2.373,2.73358,0.78701,0.77667,0.82428,0.48371,2.68867,2.21467,2.74913,0.00065548,0.00065548,0.00065548
89,1516.52,2.7728,2.34553,2.67477,0.71275,0.69956,0.72755,0.43314,2.7943,2.11979,2.81013,0.00065152,0.00065152,0.00065152
90,1530.94,2.6886,2.26185,2.64658,0.70911,0.87731,0.81429,0.47741,2.79564,1.96817,2.78049,0.00064756,0.00064756,0.00064756
91,1545.71,2.76477,2.34839,2.69335,0.82474,0.78793,0.82949,0.4928,2.74372,2.1841,2.79424,0.0006436,0.0006436,0.0006436
92,1560.24,2.79643,2.30773,2.6912,0.84994,0.66792,0.7798,0.47922,2.83341,2.3371,2.82626,0.00063964,0.00063964,0.00063964
93,1574.73,2.74484,2.28145,2.65693,0.81174,0.72118,0.77008,0.46034,2.8736,2.33314,2.83637,0.00063568,0.00063568,0.00063568
94,1588.98,2.72064,2.2696,2.64872,0.85572,0.76945,0.8225,0.49394,2.71372,2.08489,2.82072,0.00063172,0.00063172,0.00063172
95,1603.31,2.73728,2.27186,2.68764,0.8266,0.79343,0.82187,0.51079,2.80743,2.17071,2.86456,0.00062776,0.00062776,0.00062776
96,1618.03,2.69254,2.23696,2.62457,0.89889,0.76209,0.83866,0.50653,2.79391,2.03375,2.81556,0.0006238,0.0006238,0.0006238
97,1632.36,2.67901,2.25483,2.65143,0.85936,0.74496,0.8034,0.4776,2.81044,1.93348,2.79972,0.00061984,0.00061984,0.00061984
98,1646.51,2.71803,2.33079,2.64878,0.88673,0.6827,0.78506,0.46656,3.0081,2.07693,2.98079,0.00061588,0.00061588,0.00061588
99,1660.35,2.70649,2.2185,2.63998,0.77176,0.80413,0.83513,0.49957,2.85261,1.89415,2.81126,0.00061192,0.00061192,0.00061192
100,1674.61,2.78839,2.31822,2.69933,0.83036,0.71464,0.82547,0.49942,2.70726,1.97288,2.82568,0.00060796,0.00060796,0.00060796
101,1688.73,2.69559,2.25136,2.65767,0.83241,0.81023,0.84606,0.51687,2.8103,2.04293,2.86163,0.000604,0.000604,0.000604
102,1713.3,2.72157,2.30717,2.65882,0.85157,0.78838,0.83452,0.48597,2.8571,2.12584,2.84281,0.00060004,0.00060004,0.00060004
103,1736.35,2.68745,2.2119,2.64624,0.84448,0.79673,0.83438,0.50741,2.80677,1.97888,2.79818,0.00059608,0.00059608,0.00059608
104,1750.67,2.71133,2.27919,2.65507,0.79978,0.8017,0.768,0.44738,2.90451,2.03364,2.85015,0.00059212,0.00059212,0.00059212
105,1769.92,2.67357,2.22765,2.61863,0.75088,0.76111,0.7954,0.47723,2.7848,2.05165,2.76787,0.00058816,0.00058816,0.00058816
106,1784.09,2.64203,2.1637,2.6299,0.88591,0.77521,0.80568,0.50595,2.76904,2.04501,2.7729,0.0005842,0.0005842,0.0005842
107,1798.37,2.62753,2.17729,2.62944,0.85448,0.75037,0.81732,0.48525,2.80011,1.76306,2.8264,0.00058024,0.00058024,0.00058024
108,1812.92,2.64417,2.19096,2.62679,0.86492,0.75007,0.82459,0.53651,2.62616,1.75873,2.72069,0.00057628,0.00057628,0.00057628
109,1827.27,2.58128,2.11971,2.57006,0.8847,0.68114,0.80803,0.51946,2.66425,2.14465,2.74485,0.00057232,0.00057232,0.00057232
110,1841.15,2.63683,2.16343,2.63422,0.80013,0.81776,0.82563,0.51342,2.80547,1.88869,2.78564,0.00056836,0.00056836,0.00056836
111,1855.11,2.66714,2.15985,2.60553,0.81479,0.69769,0.81519,0.51259,2.70648,1.95151,2.76979,0.0005644,0.0005644,0.0005644
112,1869.22,2.67124,2.18968,2.63451,0.84595,0.68748,0.80914,0.4971,2.80468,2.06783,2.85676,0.00056044,0.00056044,0.00056044
113,1883.32,2.65779,2.17357,2.61507,0.73145,0.73645,0.76634,0.49062,2.72097,2.1772,2.7675,0.00055648,0.00055648,0.00055648
114,1897.7,2.63057,2.15097,2.61759,0.81535,0.82747,0.84517,0.54039,2.69105,1.89915,2.78051,0.00055252,0.00055252,0.00055252
115,1912.4,2.65897,2.15501,2.62574,0.83186,0.74924,0.82759,0.54062,2.61368,1.99929,2.733,0.00054856,0.00054856,0.00054856
116,1940.42,2.61669,2.11515,2.60648,0.82752,0.72855,0.80703,0.54107,2.7209,2.20154,2.75741,0.0005446,0.0005446,0.0005446
117,1954.57,2.61677,2.10289,2.62864,0.77756,0.74539,0.84261,0.52386,2.74243,2.02238,2.77784,0.00054064,0.00054064,0.00054064
118,1968.56,2.58234,2.05526,2.55838,0.83463,0.74915,0.83974,0.52706,2.81167,2.0126,2.83388,0.00053668,0.00053668,0.00053668
119,1983.04,2.6238,2.09693,2.55692,0.81857,0.77514,0.87399,0.52879,2.7813,1.88822,2.78353,0.00053272,0.00053272,0.00053272
120,1997.04,2.5711,2.07195,2.59089,0.75435,0.81563,0.82077,0.51574,2.65855,1.89574,2.73718,0.00052876,0.00052876,0.00052876
121,2011.03,2.6249,2.14097,2.609,0.8823,0.73168,0.82812,0.53276,2.63959,2.13619,2.71234,0.0005248,0.0005248,0.0005248
122,2025.43,2.54772,2.06478,2.57278,0.89319,0.74455,0.84329,0.5413,2.80273,1.79871,2.81328,0.00052084,0.00052084,0.00052084
123,2039.38,2.56242,2.07551,2.58691,0.81553,0.77265,0.83658,0.51925,2.76148,1.88731,2.75189,0.00051688,0.00051688,0.00051688
124,2053.86,2.58749,2.09475,2.56925,0.90834,0.7231,0.85706,0.52716,2.75705,1.70865,2.73422,0.00051292,0.00051292,0.00051292
