epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,560.734,1.48161,1.45009,1.28698,0.53957,0.7409,0.61774,0.32421,1.50925,1.4407,1.32819,0.00063172,0.00063172,0.00063172
95,566.588,1.49564,1.45022,1.30282,0.50145,0.61421,0.61918,0.33062,1.50568,1.38596,1.30165,0.00062776,0.00062776,0.00062776
96,572.457,1.46072,1.43562,1.27634,0.57928,0.76407,0.70065,0.39751,1.4743,1.36615,1.28558,0.0006238,0.0006238,0.0006238
97,578.341,1.45379,1.42676,1.27388,0.6756,0.59158,0.61358,0.34551,1.53541,1.49724,1.3063,0.00061984,0.00061984,0.00061984
98,584.405,1.4811,1.45173,1.2906,0.65781,0.66255,0.60683,0.34138,1.51644,1.48103,1.31174,0.00061588,0.00061588,0.00061588
99,590.28,1.45451,1.41633,1.26099,0.60466,0.73161,0.63787,0.36938,1.48988,1.45152,1.29328,0.00061192,0.00061192,0.00061192
100,596.379,1.49705,1.44593,1.28858,0.63199,0.60445,0.63395,0.33202,1.48429,1.44565,1.30672,0.00060796,0.00060796,0.00060796
101,602.309,1.46056,1.42464,1.27247,0.576,0.74682,0.67713,0.38555,1.46001,1.44192,1.30692,0.000604,0.000604,0.000604
102,608.43,1.47743,1.44922,1.28693,0.59928,0.65399,0.6596,0.34221,1.53777,1.51234,1.32966,0.00060004,0.00060004,0.00060004
103,615.602,1.46924,1.42164,1.27899,0.71095,0.67445,0.66979,0.37291,1.49071,1.37617,1.32205,0.00059608,0.00059608,0.00059608
104,622.76,1.483,1.44205,1.28369,0.72825,0.59164,0.67082,0.37339,1.59091,1.39652,1.34862,0.00059212,0.00059212,0.00059212
105,629.665,1.46397,1.41282,1.27272,0.70187,0.67271,0.68043,0.38756,1.50635,1.37813,1.30478,0.00058816,0.00058816,0.00058816
106,636.613,1.44487,1.39852,1.26995,0.69036,0.66433,0.69667,0.38409,1.5505,1.46278,1.31389,0.0005842,0.0005842,0.0005842
107,643.646,1.44959,1.38647,1.27237,0.68557,0.68222,0.69321,0.36097,1.42863,1.38151,1.27495,0.00058024,0.00058024,0.00058024
108,650.575,1.45624,1.39458,1.27461,0.52972,0.79501,0.71827,0.41535,1.48452,1.30124,1.28016,0.00057628,0.00057628,0.00057628
109,657.62,1.42649,1.36925,1.25112,0.70581,0.6693,0.66981,0.36541,1.40249,1.35492,1.2641,0.00057232,0.00057232,0.00057232
110,664.68,1.46422,1.39958,1.27645,0.53556,0.70213,0.66032,0.36864,1.49795,1.37979,1.26709,0.00056836,0.00056836,0.00056836
111,671.649,1.45111,1.38388,1.25961,0.74902,0.64121,0.68054,0.37197,1.4419,1.39587,1.27815,0.0005644,0.0005644,0.0005644
112,679.695,1.4506,1.37592,1.26728,0.71087,0.71204,0.68896,0.40102,1.52012,1.41573,1.30365,0.00056044,0.00056044,0.00056044
113,689.639,1.44558,1.38619,1.26491,0.75367,0.57306,0.67489,0.37145,1.5132,1.51585,1.29998,0.00055648,0.00055648,0.00055648
114,698.424,1.43953,1.38128,1.26419,0.80786,0.56917,0.65832,0.36552,1.42768,1.36299,1.2665,0.00055252,0.00055252,0.00055252
115,711.093,1.45518,1.37832,1.26297,0.71799,0.63494,0.66623,0.3661,1.50949,1.4308,1.28474,0.00054856,0.00054856,0.00054856
116,722.091,1.44906,1.37448,1.26856,0.7813,0.57889,0.6351,0.35421,1.49464,1.41964,1.27428,0.0005446,0.0005446,0.0005446
117,735.388,1.44308,1.36051,1.26905,0.63834,0.68789,0.70397,0.38468,1.54426,1.30175,1.31159,0.00054064,0.00054064,0.00054064
118,751.5,1.42378,1.33034,1.24022,0.76804,0.66108,0.72373,0.39113,1.40972,1.27091,1.273,0.00053668,0.00053668,0.00053668
119,768.315,1.44429,1.3458,1.24365,0.70869,0.70856,0.71797,0.39454,1.45518,1.36225,1.27349,0.00053272,0.00053272,0.00053272
120,775.409,1.41366,1.33178,1.25231,0.77852,0.72805,0.7385,0.41131,1.4183,1.32666,1.26935,0.00052876,0.00052876,0.00052876
121,783.121,1.44896,1.37227,1.25916,0.78941,0.70099,0.71193,0.40759,1.43402,1.3217,1.24235,0.0005248,0.0005248,0.0005248
122,790.508,1.41587,1.32752,1.24685,0.58492,0.7408,0.70642,0.39343,1.4644,1.37334,1.2816,0.00052084,0.00052084,0.00052084
123,797.881,1.42332,1.34312,1.25794,0.57668,0.74923,0.70643,0.3956,1.52048,1.30518,1.28017,0.00051688,0.00051688,0.00051688
124,805.159,1.42247,1.33453,1.24901,0.83767,0.70183,0.73134,0.41029,1.48331,1.34593,1.26527,0.00051292,0.00051292,0.00051292
125,812.559,1.42827,1.35145,1.26377,0.67594,0.74909,0.70241,0.42211,1.45801,1.33484,1.25903,0.00050896,0.00050896,0.00050896
126,819.869,1.4393,1.34987,1.25078,0.70762,0.71088,0.69245,0.40488,1.45992,1.32486,1.24816,0.000505,0.000505,0.000505
127,828.236,1.4171,1.33136,1.25056,0.79522,0.55534,0.66308,0.38056,1.4946,1.41445,1.29193,0.00050104,0.00050104,0.00050104
128,835.916,1.40745,1.3021,1.23842,0.71458,0.7477,0.69671,0.38732,1.47934,1.35238,1.28594,0.00049708,0.00049708,0.00049708
129,847.771,1.45186,1.37649,1.26755,0.83722,0.64671,0.75657,0.39984,1.49053,1.29205,1.27751,0.00049312,0.00049312,0.00049312
130,862.115,1.41054,1.30614,1.24365,0.78102,0.74428,0.76456,0.41915,1.39803,1.21821,1.23696,0.00048916,0.00048916,0.00048916
131,878.379,1.43303,1.32438,1.23741,0.79313,0.69938,0.74472,0.40515,1.44885,1.32126,1.25767,0.0004852,0.0004852,0.0004852
132,885.551,1.38798,1.27412,1.22715,0.78027,0.69387,0.75595,0.4407,1.44477,1.26687,1.25676,0.00048124,0.00048124,0.00048124
133,892.809,1.39327,1.28481,1.22852,0.79618,0.59312,0.70664,0.39933,1.46449,1.21029,1.24697,0.00047728,0.00047728,0.00047728
134,899.77,1.4099,1.29765,1.23047,0.68451,0.72681,0.72913,0.39215,1.47996,1.30458,1.27926,0.00047332,0.00047332,0.00047332
135,906.884,1.40634,1.31213,1.23523,0.75787,0.70049,0.70814,0.39001,1.42361,1.33503,1.24748,0.00046936,0.00046936,0.00046936
136,914.016,1.40422,1.28059,1.2248,0.73292,0.69341,0.71747,0.4029,1.45353,1.29089,1.25065,0.0004654,0.0004654,0.0004654
137,921.209,1.42708,1.3262,1.2471,0.78324,0.64395,0.69917,0.39155,1.42406,1.29916,1.24954,0.00046144,0.00046144,0.00046144
138,928.079,1.39761,1.28862,1.23531,0.72527,0.67368,0.71676,0.42803,1.41186,1.3589,1.22512,0.00045748,0.00045748,0.00045748
139,935.115,1.38919,1.27767,1.22412,0.80972,0.75695,0.76917,0.44109,1.39045,1.23864,1.22634,0.00045352,0.00045352,0.00045352
