epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,8814.99,1.26557,0.93915,1.31614,0.86824,0.76475,0.82306,0.53613,1.29843,1.00978,1.38035,0.00054064,0.00054064,0.00054064
118,8878.19,1.25032,0.91332,1.28153,0.71846,0.77601,0.83362,0.53112,1.31407,0.97031,1.34504,0.00053668,0.00053668,0.00053668
119,8970.84,1.26707,0.93184,1.28302,0.85851,0.70961,0.8072,0.4943,1.34755,0.99222,1.38949,0.00053272,0.00053272,0.00053272
120,9034.82,1.25609,0.92301,1.30815,0.73225,0.81252,0.8142,0.50145,1.2926,0.96379,1.35448,0.00052876,0.00052876,0.00052876
121,9109.75,1.26896,0.94771,1.31015,0.67144,0.84712,0.80028,0.50089,1.30407,0.98291,1.38109,0.0005248,0.0005248,0.0005248
122,9178.14,1.24866,0.92508,1.29634,0.82291,0.74548,0.81825,0.48973,1.45116,1.00374,1.4396,0.00052084,0.00052084,0.00052084
123,9255.98,1.25797,0.93204,1.3116,0.8115,0.74133,0.836,0.51573,1.30962,0.97861,1.35626,0.00051688,0.00051688,0.00051688
124,9318.96,1.26892,0.93009,1.29849,0.84173,0.68987,0.78553,0.47216,1.35123,1.02792,1.38506,0.00051292,0.00051292,0.00051292
125,9416.79,1.24755,0.93412,1.30825,0.85855,0.68509,0.81317,0.47975,1.38186,1.03381,1.42934,0.00050896,0.00050896,0.00050896
126,9504.64,1.24634,0.91449,1.28886,0.76254,0.76756,0.8251,0.50404,1.33612,0.9649,1.36302,0.000505,0.000505,0.000505
127,9577.53,1.23495,0.91266,1.30439,0.78427,0.71174,0.82491,0.49087,1.31594,1.08958,1.37174,0.00050104,0.00050104,0.00050104
128,9677.44,1.23806,0.89556,1.29028,0.77518,0.85367,0.85572,0.50715,1.39759,1.08532,1.41362,0.00049708,0.00049708,0.00049708
129,9753.46,1.27087,0.95266,1.31666,0.79809,0.78021,0.81143,0.49873,1.39808,1.05954,1.40956,0.00049312,0.00049312,0.00049312
130,9827.27,1.21729,0.8839,1.28094,0.81441,0.77477,0.8389,0.52333,1.28352,0.99279,1.34584,0.00048916,0.00048916,0.00048916
131,9891.34,1.23414,0.89141,1.2687,0.77289,0.80689,0.83717,0.51054,1.30419,1.04656,1.34658,0.0004852,0.0004852,0.0004852
132,9960.44,1.20249,0.87111,1.26585,0.78911,0.80587,0.83042,0.51493,1.3538,1.04402,1.38326,0.00048124,0.00048124,0.00048124
133,10022.9,1.22365,0.86908,1.28444,0.84938,0.76252,0.85202,0.53742,1.35621,0.967,1.40728,0.00047728,0.00047728,0.00047728
134,10086.8,1.20802,0.85892,1.26129,0.80517,0.70524,0.81466,0.53497,1.24192,0.96725,1.34623,0.00047332,0.00047332,0.00047332
135,10162.3,1.20608,0.88017,1.26294,0.81325,0.82562,0.85417,0.5193,1.27812,0.90436,1.38017,0.00046936,0.00046936,0.00046936
136,10237.7,1.20003,0.85255,1.25006,0.81278,0.82532,0.81729,0.51852,1.26311,0.94286,1.32731,0.0004654,0.0004654,0.0004654
137,10305.3,1.24123,0.89779,1.28266,0.71809,0.80056,0.81032,0.50782,1.30386,1.042,1.37701,0.00046144,0.00046144,0.00046144
138,10369.2,1.20212,0.85941,1.27325,0.83532,0.71212,0.823,0.5262,1.29312,0.93445,1.37021,0.00045748,0.00045748,0.00045748
139,10457.7,1.19846,0.84876,1.26059,0.76789,0.85785,0.86155,0.55986,1.27142,0.92592,1.37036,0.00045352,0.00045352,0.00045352
140,10531.3,1.21817,0.8717,1.27691,0.85093,0.76013,0.85668,0.5107,1.30717,0.92089,1.37764,0.00044956,0.00044956,0.00044956
141,10591.9,1.19769,0.84696,1.25477,0.85604,0.79158,0.84452,0.5159,1.2903,0.89472,1.3652,0.0004456,0.0004456,0.0004456
142,10668.8,1.18208,0.84763,1.26703,0.88199,0.8139,0.87538,0.53828,1.26963,0.88264,1.36225,0.00044164,0.00044164,0.00044164
143,10731,1.18021,0.83041,1.24794,0.82063,0.78927,0.85529,0.52602,1.2597,0.90876,1.35382,0.00043768,0.00043768,0.00043768
144,10797.8,1.18129,0.83799,1.24275,0.80302,0.77528,0.84479,0.52432,1.33676,0.93319,1.40406,0.00043372,0.00043372,0.00043372
145,10887.4,1.21267,0.87418,1.26897,0.77801,0.80113,0.83061,0.52573,1.26091,0.95187,1.35216,0.00042976,0.00042976,0.00042976
146,10966.3,1.16859,0.82277,1.24938,0.84525,0.8679,0.88943,0.56053,1.29844,0.82618,1.37309,0.0004258,0.0004258,0.0004258
147,11825.2,1.15517,0.80005,1.22991,0.87882,0.84081,0.88271,0.5527,1.23213,0.82872,1.3315,0.00042184,0.00042184,0.00042184
148,11884.3,1.16607,0.80546,1.24419,0.86662,0.8014,0.87813,0.55204,1.27134,0.98468,1.357,0.00041788,0.00041788,0.00041788
149,11946.4,1.15387,0.80901,1.24515,0.84212,0.75107,0.83772,0.53818,1.28795,0.88721,1.36905,0.00041392,0.00041392,0.00041392
150,11998.9,1.17648,0.84275,1.23916,0.7605,0.79168,0.85418,0.52695,1.27905,0.85289,1.38425,0.00040996,0.00040996,0.00040996
151,12080.6,1.15886,0.80879,1.25221,0.74168,0.78966,0.81967,0.53855,1.24816,0.92345,1.34432,0.000406,0.000406,0.000406
152,12181.5,1.18085,0.84003,1.25453,0.79759,0.76259,0.84864,0.55214,1.25285,0.83538,1.33081,0.00040204,0.00040204,0.00040204
153,12242.1,1.17327,0.83165,1.24257,0.82853,0.8539,0.87134,0.54227,1.29169,0.90169,1.35204,0.00039808,0.00039808,0.00039808
154,12300.3,1.15211,0.80527,1.22216,0.88181,0.78707,0.82961,0.53813,1.28858,0.92525,1.3527,0.00039412,0.00039412,0.00039412
155,12378.4,1.17375,0.8304,1.23581,0.86471,0.7753,0.84453,0.53229,1.30285,0.95135,1.36786,0.00039016,0.00039016,0.00039016
156,12453.8,1.1703,0.81967,1.23628,0.89014,0.74902,0.8379,0.55314,1.23096,0.91838,1.323,0.0003862,0.0003862,0.0003862
157,12533.7,1.13977,0.80507,1.23505,0.83583,0.78474,0.83634,0.53821,1.26094,0.92607,1.33812,0.00038224,0.00038224,0.00038224
158,12609.9,1.15495,0.82606,1.22663,0.79907,0.73349,0.83059,0.54299,1.28644,0.92964,1.38463,0.00037828,0.00037828,0.00037828
159,12689.6,1.13326,0.77264,1.20885,0.82876,0.69322,0.85898,0.53462,1.25884,0.86089,1.34328,0.00037432,0.00037432,0.00037432
160,12771,1.14934,0.79422,1.21424,0.85618,0.78442,0.86447,0.53414,1.26517,0.8239,1.35296,0.00037036,0.00037036,0.00037036
161,12867.5,1.14772,0.80095,1.23717,0.70566,0.89009,0.84817,0.53366,1.24711,0.89708,1.35223,0.0003664,0.0003664,0.0003664
162,12958.6,1.13277,0.77586,1.21718,0.72447,0.86112,0.84079,0.52968,1.25206,0.85606,1.33785,0.00036244,0.00036244,0.00036244
163,13051.3,1.1219,0.78274,1.21264,0.82658,0.71238,0.83081,0.52977,1.24998,0.91056,1.32624,0.00035848,0.00035848,0.00035848
164,13143,1.14914,0.79757,1.22282,0.73025,0.81421,0.86614,0.53203,1.27208,0.90954,1.38397,0.00035452,0.00035452,0.00035452
165,13216.3,1.11489,0.75757,1.20734,0.82357,0.71111,0.81729,0.50986,1.25765,0.99935,1.36193,0.00035056,0.00035056,0.00035056
166,13321.3,1.12195,0.76818,1.20132,0.85432,0.69038,0.81633,0.5184,1.23329,0.91273,1.35265,0.0003466,0.0003466,0.0003466
167,13395,1.12381,0.76461,1.22175,0.75738,0.7918,0.84276,0.54148,1.20844,0.86638,1.32415,0.00034264,0.00034264,0.00034264
168,13517,1.11146,0.76104,1.21676,0.89333,0.70549,0.84696,0.53226,1.29909,0.88106,1.37378,0.00033868,0.00033868,0.00033868
169,13592.5,1.08955,0.72979,1.19633,0.78598,0.79591,0.85021,0.5665,1.2297,0.87628,1.32549,0.00033472,0.00033472,0.00033472
170,13672.7,1.08065,0.72868,1.17992,0.6994,0.85406,0.87873,0.56553,1.26015,0.86945,1.35132,0.00033076,0.00033076,0.00033076
171,13767.6,1.09659,0.73454,1.19981,0.77331,0.79256,0.85954,0.53388,1.22631,0.88616,1.34956,0.0003268,0.0003268,0.0003268
172,13863.2,1.13467,0.78477,1.21326,0.89454,0.74438,0.86561,0.53196,1.2532,0.88615,1.3524,0.00032284,0.00032284,0.00032284
173,13947.9,1.07376,0.71615,1.1857,0.83644,0.79788,0.84479,0.53932,1.23476,0.88154,1.33076,0.00031888,0.00031888,0.00031888
174,14055.4,1.08695,0.74268,1.19459,0.80841,0.78596,0.8499,0.53695,1.26998,0.90524,1.34781,0.00031492,0.00031492,0.00031492
175,14137.3,1.10897,0.76829,1.20692,0.81944,0.79646,0.87632,0.56909,1.33332,0.89176,1.39275,0.00031096,0.00031096,0.00031096
176,14270.3,1.0782,0.76386,1.19904,0.84404,0.79971,0.8479,0.55714,1.25579,0.83076,1.34942,0.000307,0.000307,0.000307
177,14396.4,1.12719,0.79609,1.23072,0.88405,0.7615,0.87352,0.55875,1.22197,0.88413,1.32076,0.00030304,0.00030304,0.00030304
178,14508.8,1.10893,0.77157,1.20654,0.8037,0.85016,0.86092,0.57482,1.18512,0.99469,1.31869,0.00029908,0.00029908,0.00029908
179,14588.1,1.09329,0.7406,1.18469,0.84051,0.7754,0.86506,0.56534,1.24089,0.89724,1.34176,0.00029512,0.00029512,0.00029512
180,14688.6,1.10239,0.73939,1.18844,0.84015,0.80055,0.84377,0.5325,1.23502,0.88896,1.35952,0.00029116,0.00029116,0.00029116
181,14781.7,1.08375,0.74385,1.17658,0.862,0.74676,0.84732,0.54866,1.29673,0.90712,1.38429,0.0002872,0.0002872,0.0002872
182,14886.2,1.09126,0.75032,1.1874,0.90231,0.76063,0.88349,0.54251,1.25019,0.89555,1.33371,0.00028324,0.00028324,0.00028324
